tweet_id,favorites,retweet_count
892420643555336193,32869,6875
892177421306343426,28399,5177
891815181378084864,21345,3421
891689557279858688,35844,7084
891327558926688256,34289,7592
891087950875897856,17247,2546
890971913173991426,10066,1620
890729181411237888,55299,15442
890609185150312448,23797,3554
890240255349198849,27125,5982
890006608113172480,26261,6029
889880896479866881,23826,4076
889665388333682689,40859,8184
889638837579907072,23005,3647
889531135344209921,12970,1852
889278841981685760,21430,4357
888917238123831296,24891,3686
888804989199671297,21813,3458
888554962724278272,16839,2837
888078434458587136,18555,2842
887705289381826560,25813,4439
887517139158093824,39455,9644
887473957103951883,58584,14754
887343217045368832,28713,8612
887101392804085760,26143,4891
886983233522544640,29537,6185
886736880519319552,10215,2576
886680336477933568,19157,3665
886366144734445568,18001,2571
886267009285017600,101,4
886258384151887873,23841,5169
886054160059072513,0,90
885984800019947520,27824,5502
885528943205470208,30685,5228
885518971528720385,17389,3052
885311592912609280,0,15154
885167619883638784,18681,3608
884925521741709313,65487,14723
884876753390489601,23677,4575
884562892145688576,20689,3823
884441805382717440,23129,4716
884247878851493888,61848,16613
884162670584377345,17400,2456
883838122936631299,18581,2805
883482846933004288,38999,8098
883360690899218434,19351,3017
883117836046086144,31601,5434
882992080364220416,20399,3184
882762694511734784,24110,4025
882627270321602560,23879,4962
882268110199369728,38165,9411
882045870035918850,24958,4004
881906580714921986,20807,2790
881666595344535552,43236,8765
881633300179243008,112,8
881536004380872706,42194,13143
881268444196462592,19820,4384
880935762899988482,14565,2280
880872448815771648,18180,3149
880465832366813184,24340,5121
880221127280381952,22980,3403
880095782870896641,23578,3577
879862464715927552,19126,2871
879674319642796034,281,9
879492040517615616,20082,2581
879415818425184262,90389,36708
879376492567855104,14439,2607
879130579576475649,0,5615
879050749262655488,19223,3866
879008229531029506,16289,2200
878776093423087618,16579,3368
878604707211726852,25703,5806
878404777348136964,0,1051
878316110768087041,0,5420
878281511006478336,6583,1051
878057613040115712,35871,5615
877736472329191424,67406,15513
877556246731214848,19319,3103
877316821321428993,23482,4262
877201837425926144,23190,4532
876838120628539392,17674,2755
876537666061221889,20326,3888
876484053909872640,16072,1958
876120275196170240,23924,3836
875747767867523072,21461,3514
875144289856114688,18859,4080
875097192612077568,23499,4997
875021211251597312,21854,3884
874680097055178752,23810,3841
874434818259525634,0,12009
874296783580663808,22302,3412
874057562936811520,19419,3307
874012996292530176,29202,8420
873580283840344065,20744,3278
873337748698140672,0,1306
873213775632977920,6137,1306
872967104147763200,23384,4473
872820683541237760,12698,3100
872620804844003328,17710,3004
872486979161796608,34969,7522
872122724285648897,29375,6691
871879754684805121,32112,9084
871762521631449091,17353,2913
871515927908634625,17365,2880
871166179821445120,0,4799
871102520638267392,18021,4581
871032628920680449,19593,3164
870804317367881728,28910,5179
870726314365509632,100,3
870656317836468226,10559,2159
870374049280663552,71263,22150
870308999962521604,18895,3483
870063196459192321,31525,6942
869772420881756160,36711,8491
869702957897576449,24303,5299
869596645499047938,13720,2584
869227993411051520,17607,3138
868880397819494401,56388,12023
868639477480148993,0,1710
868622495443632128,22934,4376
868552278524837888,8661,1710
867900495410671616,20969,3502
867774946302451713,29441,6140
867421006826221569,13901,2084
867072653475098625,0,99
867051520902168576,27904,6671
866720684873056260,17358,4067
866686824827068416,16655,2912
